RELRO;STACK CANARY;NX;PIE;RPATH;RUNPATH;Symbols;FORTIFY;Fortified;Fortifiable;FILE
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/pppoe
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;Symbols;No;0;16;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/pppoe-server
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;12;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/xtables-multi
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/reboot
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/iwcontrol
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;Symbols;No;0;10;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/pppoe-relay
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/pppoe-sniff
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/netmgr
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/fw_upgrade
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/hnap_push_service
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/makeDevUid
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/getpreviewimg
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/hnap_tool_wifi_sitesurvey
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/sysmgr
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;6;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rscam_uvc
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/ipfind
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/twinkling
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/upnp_igd
No RELRO;No Canary found;NX disabled;No PIE;RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/openssl
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/ntpclient
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/makeBonjourFile
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/bundle_restore
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rtkmib
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/msger
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/mDNSClientPosix
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;7;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/userconfig
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/wanip_detect
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/mdb
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;17;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rtsp/rtspd
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/ddns
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/dlinkpsk
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;6;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/hwmon
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/upnp
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/factory_reset
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/schboot
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/mDNSResponderPosix
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/httpd-manager
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/mkdosfs
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/cfg
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/llmnr
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;15;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/pppd
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;16;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rtmp/crtmpserver
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/set_passwd
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/elog
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;11;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/eventd
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/md5sum
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/ddp
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libMsgctrl.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libEventLog.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libsitelist.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libProfile.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libFVmtd.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;6;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libFVnetwork.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libFVbase64.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libRingBuf.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;16;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libcrypto.so.1.0.0
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libasp.so.0
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libFVbridge.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libPayload.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libaescrypt.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;6;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libHttpNotify.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libShareInfo.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;10;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libFVwireless.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;6;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libssl.so.1.0.0
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libutl.so.0
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;14;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libweb.so.0
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libcfgbackup.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libixml.so.2.0.4
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libcfg.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libUserConfig.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/librtkmib.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;7;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libnet.so.0
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libSemafor.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libFtp.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libFVconfig.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;7;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libFVsystem.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;9;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libEMail.so
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/bin/iwpriv
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/bin/flash_eraseall
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libutil-0.9.30.3.so
Partial RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;78;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libuClibc-0.9.30.3.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libnsl-0.9.30.3.so
No RELRO;No Canary found;NX disabled;REL;No RPATH;No RUNPATH;Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/modules/hwmon.ko
No RELRO;No Canary found;NX disabled;REL;No RPATH;No RUNPATH;Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/modules/al3010.ko
No RELRO;No Canary found;NX disabled;REL;No RPATH;No RUNPATH;Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/modules/gpio_i2c.ko
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libgcc_s.so.1
Partial RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libpthread-0.9.30.3.so
Full RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/ld-uClibc-0.9.30.3.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/librt-0.9.30.3.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libresolv-0.9.30.3.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;5;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libcrypt-0.9.30.3.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;12;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libcurl.so.4.3.0
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;Symbols;No;0;13;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libstdc++.so.6.0.13
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libthread_db-0.9.30.3.so
No RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libm-0.9.30.3.so
Partial RELRO;No Canary found;NX disabled;DSO;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libdl-0.9.30.3.so
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;14;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/mydlink/dcp
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;4;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/mydlink/httpd_check
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;12;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/mydlink/tsa
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;17;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/mydlink/signalc
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;15;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/mydlink/upnpc-ddns
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/server/camsvr
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;8;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/web/httpd
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/web/cgi-bin/config/upnp.cgi
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/web/cgi-bin/config/user_mod.cgi
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/web/cgi-bin/config/sensor_reset.cgi
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;2;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/web/cgi-bin/config/notify_stream.cgi
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/web/cgi-bin/config/stream_auth.cgi
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;0;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/web/cgi-bin/config/authconf.cgi
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;1;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/web/cgi-bin/config/audio.cgi
No RELRO;No Canary found;NX disabled;No PIE;No RPATH;No RUNPATH;No Symbols;No;0;3;/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/web/cgi-bin/config/network.cgi
