Script path;Shell issues detected;common linux file;shellcheck/semgrep;
/bin/ipcalc.sh (-rwxrwxr-x root root);2;no;NA;
/bin/board_detect (-rwxrwxr-x root root);4;no;NA;
/bin/config_generate (-rwxrwxr-x root root);8;no;NA;
/etc/hotplug.d/bridge/02-alter-wanif (-rw-rw-r-- root root);12;no;NA;
/etc/hotplug.d/bridge/01-vlanstate (-rw-rw-r-- root root);41;no;NA;
/etc/hotplug.d/firewall/10-nat-reflection (-rw-r--r-- root root);8;no;NA;
/etc/hotplug.d/firewall/50-improxy (-rw-r--r-- root root);6;no;NA;
/etc/hotplug.d/firewall/65-domain_login (-rw-r--r-- root root);4;no;NA;
/etc/hotplug.d/iface/01-ipv6 (-rwxrwxr-x root root);20;no;NA;
/etc/hotplug.d/iface/07-Internet_detection (-rwxrwxr-x root root);2;no;NA;
/etc/hotplug.d/iface/15-hyd (-rwxr-xr-x root root);11;no;NA;
/etc/hotplug.d/iface/20-firewall (-rw-r--r-- root root);1;no;NA;
/etc/hotplug.d/iface/20-nat (-rw-r--r-- root root);1;no;NA;
/etc/hotplug.d/iface/21-basic_security (-rw-r--r-- root root);2;no;NA;
/etc/hotplug.d/iface/25-ddns (-rwxrwxr-x root root);4;no;NA;
/etc/hotplug.d/iface/25-dnsproxy (-rw-rw-r-- root root);1;no;NA;
/etc/hotplug.d/iface/50-improxy (-rw-r--r-- root root);1;no;NA;
/etc/hotplug.d/iface/50-miniupnpd (-rw-r--r-- root root);4;no;NA;
/etc/hotplug.d/iface/60-dnsmasq (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/iface/80-tcpmss (-rwxrwxr-x root root);5;no;NA;
/etc/hotplug.d/iface/03-lanv6 (-rwxr-xr-x root root);262;no;NA;
/etc/hotplug.d/iface/98-cloud-brd (-rwxrwxr-x root root);6;no;NA;
/etc/hotplug.d/iface/98-sysntpd (-rwxrwxr-x root root);6;no;NA;
/etc/hotplug.d/iface/99-qos (-rwxr-xr-x root root);1;no;NA;
/etc/hotplug.d/iface/65-domain_login (-rw-r--r-- root root);46;no;NA;
/etc/hotplug.d/ip/00-sync (-rwxr-xr-x root root);8;no;NA;
/etc/hotplug.d/mode/00-apsd (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/mode/00-network (-rw-rw-r-- root root);6;no;NA;
/etc/hotplug.d/mode/00-smartip (-rwxrwxr-x root root);1;no;NA;
/etc/hotplug.d/ip/01-domain_login (-rw-r--r-- root root);32;no;NA;
/etc/hotplug.d/mode/00-sync (-rwxr-xr-x root root);2;no;NA;
/etc/hotplug.d/mode/05-iptv (-rwxr-xr-x root root);8;no;NA;
/etc/hotplug.d/mode/10-dns_correct (-rwxrwxr-x root root);15;no;NA;
/etc/hotplug.d/mode/20-dnsproxy (-rwxrwxr-x root root);1;no;NA;
/etc/hotplug.d/mode/20-nrd (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/mode/30-tfaffic-stats (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/mode/50-cloud-reconnect (-rwxrwxr-x root root);3;no;NA;
/etc/hotplug.d/mode/50-miniupnpd (-rw-r--r-- root root);7;no;NA;
/etc/hotplug.d/mode/90-radvd (-rwxr-xr-x root root);4;no;NA;
/etc/hotplug.d/mode/98-sysntpd (-rwxrwxr-x root root);4;no;NA;
/etc/hotplug.d/mode/99-cloud-awn-update (-rwxrwxr-x root root);3;no;NA;
/etc/hotplug.d/mode/99-guest (-rwxr-xr-x root root);1;no;NA;
/etc/hotplug.d/mode/99-ipv6-firewall (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/mode/99-msgcenter (-rwxrwxr-x root root);2;no;NA;
/etc/hotplug.d/mode/99-parental-control (-rwxr-xr-x root root);4;no;NA;
/etc/hotplug.d/mode/99-qos (-rwxr-xr-x root root);5;no;NA;
/etc/hotplug.d/nat/10-nat-dnsproxy (-rw-rw-r-- root root);1;no;NA;
/etc/hotplug.d/net/03-vlanset (-rwxrwxr-x root root);2;no;NA;
/etc/hotplug.d/net/28-mcsd (-rwxr-xr-x root root);1;no;NA;
/etc/init.d/apsd (-rwxr-xr-x root root);8;no;NA;
/etc/init.d/basic_security (-rwxr-xr-x root root);1;no;NA;
/etc/init.d/boot (-rwxrwxr-x root root);1;yes;NA;
/etc/init.d/blacklist (-rwxr-xr-x root root);1;yes;NA;
/etc/init.d/client_mgmt (-rwxrwxr-x root root);1;no;NA;
/etc/init.d/cloud_account (-rwxrwxr-x root root);4;no;NA;
/etc/init.d/conn-indicator (-rwxr-xr-x root root);5;no;NA;
/etc/init.d/ddns (-rwxr-xr-x root root);4;no;NA;
/etc/init.d/dhcp_hook_d (-rwxrwxr-x root root);5;no;NA;
/etc/init.d/dhcp6s (-rwxr-xr-x root root);20;no;NA;
/etc/init.d/done (-rwxrwxr-x root root);2;no;NA;
/etc/init.d/domain_login (-rwxr-xr-x root root);2;no;NA;
/etc/init.d/dnsmasq (-rwxr-xr-x root root);13;yes;NA;
/etc/init.d/dropbear (-rwxr-xr-x root root);5;no;NA;
/etc/init.d/firewall (-rwxr-xr-x root root);1;yes;NA;
/etc/init.d/guest-bandwidth (-rwxr-xr-x root root);2;no;NA;
/etc/init.d/guest-schedule (-rwxr-xr-x root root);2;no;NA;
/etc/init.d/guest_eth (-rwxr-xr-x root root);11;no;NA;
/etc/init.d/handheld_radar (-rwxrwxr-x root root);3;no;NA;
/etc/init.d/hnat-start (-rwxrwxr-x root root);12;no;NA;
/etc/init.d/hyfi-bridging (-rwxr-xr-x root root);2;no;NA;
/etc/init.d/improxy (-rwxr-xr-x root root);23;no;NA;
/etc/init.d/ipv6-firewall (-rwxr-xr-x root root);3;no;NA;
/etc/init.d/iptv (-rwxr-xr-x root root);18;no;NA;
/etc/init.d/led (-rwxrwxr-x root root);14;yes;NA;
/etc/init.d/leds (-rwxr-xr-x root root);2;no;NA;
/etc/init.d/log (-rwxr-xr-x root root);2;yes;NA;
/etc/init.d/luarsa_keys_gen (-rwxr-xr-x root root);4;no;NA;
/etc/init.d/miniupnpd (-rwxr-xr-x root root);13;no;NA;
/etc/init.d/mcsd (-rwxr-xr-x root root);24;no;NA;
/etc/init.d/nat (-rwxr-xr-x root root);6;yes;NA;
/etc/init.d/nrd (-rwxr-xr-x root root);10;no;NA;
/etc/init.d/parental_control (-rwxr-xr-x root root);3;no;NA;
/etc/init.d/passthrough.init (-rwxr-xr-x root root);5;no;NA;
/etc/init.d/phyLinkUp (-rwxrwxr-x root root);1;no;NA;
/etc/init.d/plc-led (-rwxr-xr-x root root);1;no;NA;
/etc/init.d/qos (-rwxr-xr-x root root);14;no;NA;
/etc/init.d/network (-rwxrwxr-x root root);38;yes;NA;
/etc/init.d/repacd (-rwxr-xr-x root root);3;no;NA;
/etc/init.d/radvd (-rwxr-xr-x root root);18;yes;NA;
/etc/init.d/shortcut-fe (-rwxr-xr-x root root);1;no;NA;
/etc/init.d/smart_home (-rwxrwxr-x root root);3;no;NA;
/etc/init.d/smartip (-rwxrwxr-x root root);37;no;NA;
/etc/init.d/switch (-rwxrwxr-x root root);2;no;NA;
/etc/init.d/sysctl (-rwxrwxr-x root root);1;yes;NA;
/etc/init.d/sysmode (-rwxrwxr-x root root);6;no;NA;
/etc/init.d/sysntpd (-rwxr-xr-x root root);1;no;NA;
/etc/init.d/system (-rwxrwxr-x root root);2;yes;NA;
/etc/init.d/time_settings (-rwxr-xr-x root root);3;no;NA;
/etc/init.d/uhttpd (-rwxr-xr-x root root);12;no;NA;
/etc/init.d/wpsd (-rwxr-xr-x root root);5;no;NA;
/etc/init.d/wifi (-rwxr-xr-x root root);10;no;NA;
/etc/profile (-rwxrwxr-x root root);6;yes;NA;
/etc/rc.button/reset (-rwxrwxr-x root root);2;yes;NA;
/etc/rc.button/rfkill (-rwxrwxr-x root root);3;yes;NA;
/etc/rc.common (-rwxrwxr-x root root);4;no;NA;
/etc/rc.d/S99smp (-rwxrwxr-x root root);7;no;NA;
/etc/tsched.d/leds_schedule (-rwxr-xr-x root root);1;no;NA;
/lib/autodetect/autodetect.sh (-rwxrwxr-x root root);5;no;NA;
/lib/autodetect/dhcp6c_autodet.script (-rwxrwxr-x root root);7;no;NA;
/lib/config/uci.sh (-rw-rw-r-- root root);1;no;NA;
/lib/domain_login/domain_login_log.sh (-rw-r--r-- root root);1;no;NA;
/lib/domain_login/domain_login_core.sh (-rw-r--r-- root root);16;no;NA;
/lib/essid/essid.sh (-rw-r--r-- root root);9;no;NA;
/lib/fs/fs_common.sh (-rwxrwxr-x root root);7;no;NA;
/lib/functions/leds.sh (-rw-rw-r-- root root);10;no;NA;
/lib/functions.sh (-rwxrwxr-x root root);33;yes;NA;
/lib/functions/preinit.sh (-rw-rw-r-- root root);23;no;NA;
/lib/functions/whc-network.sh (-rwxrwxr-x root root);8;no;NA;
/lib/functions/uci-defaults.sh (-rwxrwxr-x root root);60;no;NA;
/lib/led_switch (-rwxrwxr-x root root);1;no;NA;
/lib/functions/nrd-config.sh (-rwxrwxr-x root root);30;no;NA;
/lib/guest-eth/guest-eth.sh (-rwxr-xr-x root root);27;no;NA;
/lib/netifd/dhcp.script (-rwxrwxr-x root root);39;no;NA;
/lib/netifd/dhcp6c_slaac.sh (-rwxr-xr-x root root);11;no;NA;
/lib/netifd/dhcp6c.script (-rwxr-xr-x root root);21;no;NA;
/lib/netifd/passthrough_reload.sh (-rwxr-xr-x root root);2;no;NA;
/lib/netifd/ppp-dhcp6c.script (-rwxr-xr-x root root);22;no;NA;
/lib/netifd/ppp-up (-rwxr-xr-x root root);1;no;NA;
/lib/netifd/ppp-down (-rwxr-xr-x root root);3;no;NA;
/lib/netifd/pppshare-dhcp6c.script (-rwxr-xr-x root root);27;no;NA;
/lib/netifd/pppshare-up (-rwxr-xr-x root root);48;no;NA;
/lib/netifd/proto/6rd.sh (-rwxr-xr-x root root);5;no;NA;
/lib/netifd/pppv6-up (-rwxr-xr-x root root);62;no;NA;
/lib/netifd/proto/dhcp.sh (-rwxrwxr-x root root);2;no;NA;
/lib/netifd/proto/6to4.sh (-rwxr-xr-x root root);24;no;NA;
/lib/netifd/proto/dhcp6c.sh (-rwxr-xr-x root root);34;no;NA;
/lib/netifd/proto/l2tp.sh (-rwxr-xr-x root root);5;yes;NA;
/lib/netifd/proto/dslite.sh (-rwxr-xr-x root root);12;no;NA;
/lib/netifd/proto/lanv6.sh (-rwxr-xr-x root root);22;no;NA;
/lib/netifd/proto/passthrough.sh (-rwxr-xr-x root root);8;no;NA;
/lib/netifd/proto/ppp.sh (-rwxr-xr-x root root);3;no;NA;
/lib/netifd/proto/v6plus.sh (-rwxr-xr-x root root);5;no;NA;
/lib/network/config.sh (-rwxrwxr-x root root);2;yes;NA;
/lib/netifd/v6plus-dial.sh (-rwxr-xr-x root root);30;no;NA;
/lib/network/switch.sh (-rw-r--r-- root root);20;no;NA;
/lib/preinit/10_indicate_preinit (-rw-rw-r-- root root);2;no;NA;
/lib/preinit/30_failsafe_wait (-rwxrwxr-x root root);2;no;NA;
/lib/parental_control/core_get_history.sh (-rwxr-xr-x root root);107;no;NA;
/lib/switch/core_phy.sh (-rwxrwxr-x root root);2;no;NA;
/lib/sbin/wifi_try (-rwxr-xr-x root root);15;no;NA;
/lib/upgrade/common.sh (-rw-rw-r-- root root);30;yes;NA;
/lib/wifi/wps_button (-rwxrwxr-x root root);11;no;NA;
/sbin/firstboot (-rwxrwxr-x root root);1;no;NA;
/sbin/fw (-rwxr-xr-x root root);1;no;NA;
/sbin/gen_passwd (-rwxrwxr-x root root);4;no;NA;
/lib/wifi/ralinkwifi.sh (-rw-r--r-- root root);28;no;NA;
/sbin/hotplug-call (-rwxrwxr-x root root);4;no;NA;
/lib/wifi/wifiupdate_ralink.sh (-rw-r--r-- root root);39;no;NA;
/sbin/getfirm (-rwxrwxr-x root root);50;no;NA;
/lib/wifi/wificommon.sh (-rw-r--r-- root root);101;no;NA;
/sbin/ifup (-rwxrwxr-x root root);2;yes;NA;
/sbin/led.sh (-rwxrwxr-x root root);5;no;NA;
/sbin/luci-reload (-rwxrwxr-x root root);10;no;NA;
/sbin/nat (-rwxr-xr-x root root);8;yes;NA;
/sbin/network_get_firm (-rwxrwxr-x root root);19;no;NA;
/sbin/pctl_log_update (-rwxr-xr-x root root);1;no;NA;
/sbin/portset (-rwxrwxr-x root root);4;no;NA;
/sbin/portspeed (-rwxrwxr-x root root);9;no;NA;
/sbin/ramfs_dir (-rwxrwxr-x root root);1;no;NA;
/sbin/reload_config (-rwxr-xr-x root root);2;no;NA;
/sbin/snapshot (-rwxr-xr-x root root);13;no;NA;
/sbin/tddp_hook_setmac (-rwxrwxr-x root root);2;no;NA;
/sbin/sysupgrade (-rwxrwxr-x root root);6;no;NA;
/usr/bin/sa1 (-rwxr-xr-x root root);3;yes;NA;
/sbin/wifi (-rwxrwxr-x root root);10;no;NA;
/usr/bin/sa2 (-rwxr-xr-x root root);7;yes;NA;
/usr/lib/ddns/dynamic_dns_dyndns.sh (-rwxrwxr-x root root);5;no;NA;
/usr/lib/ddns/dynamic_dns_functions.sh (-rwxrwxr-x root root);7;no;NA;
/usr/lib/ddns/dynamic_dns_log.sh (-rwxrwxr-x root root);1;no;NA;
/usr/lib/ddns/dynamic_dns_noip.sh (-rwxrwxr-x root root);5;no;NA;
/usr/lib/disconnect_lan.sh (-rwxrwxr-x root root);5;no;NA;
/usr/lib/dnsproxy/dnsproxy_api.sh (-rw-rw-r-- root root);2;no;NA;
/usr/lib/ddns/dynamic_dns_updater.sh (-rwxrwxr-x root root);9;no;NA;
/usr/lib/dnsproxy/dnsproxy_deamon.sh (-rwxrwxr-x root root);10;no;NA;
/usr/sbin/autodetect (-rwxrwxr-x root root);1;yes;NA;
/usr/lib/eth-encap/eth_encap.sh (-rw-r--r-- root root);20;no;NA;
/usr/sbin/bridge-control (-rwxr-xr-x root root);18;no;NA;
/usr/sbin/bridge-hyfi-extend (-rwxr-xr-x root root);11;no;NA;
/usr/sbin/cloud_download (-rwxrwxr-x root root);2;no;NA;
/usr/sbin/ddns (-rwxrwxr-x root root);2;no;NA;
/usr/sbin/domain_login (-rwxr-xr-x root root);3;no;NA;
/usr/sbin/leds_set_nightmode (-rwxr-xr-x root root);4;no;NA;
/usr/sbin/rsched_conf (-rwxr-xr-x root root);3;no;NA;
/usr/sbin/save_tmp_config_conf (-rwxr-xr-x root root);4;no;NA;
/usr/sbin/smartip_add_reservation_list (-rwxrwxr-x root root);24;no;NA;
/usr/sbin/start_nrd (-rwxr-xr-x root root);2;no;NA;
/usr/sbin/updateassoclist.sh (-rwxr-xr-x root root);4;no;NA;
/usr/sbin/updateneigh.sh (-rwxr-xr-x root root);4;no;NA;
/usr/share/miniupnpd/firewall.include (-rw-r--r-- root root);3;no;NA;
/usr/sbin/wifi_try (-rwxr-xr-x root root);15;no;NA;
/usr/share/udhcpc/default.script (-rwxrwxr-x root root);4;no;NA;
/usr/sbin/wifi_led.sh (-rwxr-xr-x root root);61;no;NA;
